baterryNo,U,A,T,R,recordtime,recordTime,SOC
5,2176,76,127,4738,2022/1/3 11:58,01031158,0.9992845
5,2180,101,127,4738,2022/1/3 11:59,01031159,0.999234
5,2181,101,127,4738,2022/1/3 11:59,01031159,0.999234
5,2182,104,127,4738,2022/1/3 11:59,01031159,0.999234
5,2176,101,127,4738,2022/1/3 11:59,01031159,0.999234
5,2178,89,127,4738,2022/1/3 11:59,01031159,0.999234
5,2181,102,127,4738,2022/1/3 11:59,01031159,0.999234
5,2182,102,127,4738,2022/1/3 12:00,01031200,0.997143
5,2182,102,127,4738,2022/1/3 12:00,01031200,0.997143
5,2182,102,127,4738,2022/1/3 12:00,01031200,0.997143
5,2182,101,127,4738,2022/1/3 12:00,01031200,0.997143
5,2183,102,127,4738,2022/1/3 12:00,01031200,0.997143
5,2183,102,127,4738,2022/1/3 12:00,01031200,0.997143
5,2180,102,127,4738,2022/1/3 12:01,01031201,0.997092
5,2182,103,127,4738,2022/1/3 12:01,01031201,0.997092
5,2188,101,127,4738,2022/1/3 12:01,01031201,0.997092
5,2181,97,127,4738,2022/1/3 12:01,01031201,0.997092
5,2182,101,127,4738,2022/1/3 12:01,01031201,0.997092
5,2181,101,127,4738,2022/1/3 12:01,01031201,0.997092
5,2183,103,127,4738,2022/1/3 12:02,01031202,0.9970405
5,2181,101,127,4738,2022/1/3 12:02,01031202,0.9970405
5,2183,103,127,4738,2022/1/3 12:02,01031202,0.9970405
5,2183,101,127,4738,2022/1/3 12:02,01031202,0.9970405
5,2184,101,128,4738,2022/1/3 12:02,01031202,0.9970405
5,2182,102,128,4738,2022/1/3 12:02,01031202,0.9970405
5,2182,72,127,4738,2022/1/3 12:03,01031203,0.9970045
5,2184,102,127,4738,2022/1/3 12:03,01031203,0.9970045
5,2184,103,127,4738,2022/1/3 12:03,01031203,0.9970045
5,2184,102,127,4738,2022/1/3 12:03,01031203,0.9970045
5,2184,102,127,4738,2022/1/3 12:03,01031203,0.9970045
5,2184,103,127,4738,2022/1/3 12:03,01031203,0.9970045
